target,trial_id,planning_success,cartesian_success,contact_left,contact_right,force_left,force_right,attach_success,holding_success,lift_success,failure_reason,duration,stage_planning_sec,stage_descend_sec,stage_contact_sec,stage_attach_sec,stage_lift_sec
material_spare_igbt,1,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_DESCEND material_spare_igbt,99.837186,32.562333,,,,
material_spare_igbt,2,0,0,1,1,629.398077,1501.557479,0,0,0,FAILED_DESCEND material_spare_igbt,57.712648,14.448501,,,,
material_spare_igbt,3,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_DESCEND material_spare_igbt,66.282133,17.951888,,,,
material_spare_igbt,4,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_DESCEND material_spare_igbt,8.118065,7.765794,,,,
material_spare_igbt,5,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN material_spare_igbt,0.528314,,,,,
material_spare_igbt,6,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN material_spare_igbt,0.523005,,,,,
material_spare_igbt,7,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN material_spare_igbt,0.523549,,,,,
material_spare_igbt,8,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN material_spare_igbt,0.527510,,,,,
material_spare_igbt,9,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN material_spare_igbt,0.519833,,,,,
material_spare_igbt,10,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN material_spare_igbt,0.533817,,,,,
tooling_hand_tools,1,1,1,1,1,544.355066,630.387612,0,0,0,FAILED_ATTACH tooling_hand_tools,21.699677,15.259219,5.023333,,,
tooling_hand_tools,2,1,1,0,0,0.000000,0.000000,0,0,0,FAILED_CONTACT tooling_hand_tools,11.795609,3.447655,2.822609,,,
tooling_hand_tools,3,1,1,1,1,445.844088,3570.718015,0,0,0,FAILED_CONTACT tooling_hand_tools,23.849792,18.257587,5.170173,,,
tooling_hand_tools,4,1,1,1,0,922.690010,0.000000,0,0,0,FAILED_CONTACT tooling_hand_tools,9.121820,3.660978,5.029992,,,
tooling_hand_tools,5,1,0,1,1,490.854273,244.750731,0,0,0,FAILED_DESCEND tooling_hand_tools,61.063716,5.134085,,,,
tooling_hand_tools,6,1,0,0,0,0.000000,0.000000,0,0,0,FAILED_DESCEND tooling_hand_tools,6.310005,5.914722,,,,
tooling_hand_tools,7,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN tooling_hand_tools,0.530120,,,,,
tooling_hand_tools,8,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN tooling_hand_tools,0.524739,,,,,
tooling_hand_tools,9,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN tooling_hand_tools,0.528671,,,,,
tooling_hand_tools,10,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN tooling_hand_tools,0.498477,,,,,
board_test_fixture,1,1,1,1,1,3219.337406,7090.823454,1,0,0,FAILED_LIFT board_test_fixture,72.940015,16.724452,6.510928,0.115753,0.824220,
board_test_fixture,2,1,1,1,0,37881.973578,0.000000,0,0,0,FAILED_CONTACT board_test_fixture,33.047821,23.531559,3.856319,,,
board_test_fixture,3,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN board_test_fixture,6.538711,,,,,
board_test_fixture,4,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN board_test_fixture,6.565819,,,,,
board_test_fixture,5,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN board_test_fixture,6.551047,,,,,
board_test_fixture,6,1,0,0,0,0.000000,0.000000,0,0,0,FAILED_DESCEND board_test_fixture,62.612459,15.897313,,,,
board_test_fixture,7,1,0,1,0,57360.611908,0.000000,0,0,0,FAILED_DESCEND board_test_fixture,20.489880,17.757906,,,,
board_test_fixture,8,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN board_test_fixture,6.549683,,,,,
board_test_fixture,9,0,0,0,0,0.000000,0.000000,0,0,0,FAILED_PRE_GRASP_PLAN board_test_fixture,6.559819,,,,,
board_test_fixture,10,1,0,0,0,0.000000,0.000000,0,0,0,FAILED_DESCEND board_test_fixture,11.415136,10.926110,,,,
