target,trial,trial_id,planning_success,cartesian_success,cartesian_fraction,contact_success,contact_left,contact_right,force_left,force_right,force_peak,attach_success,holding_success,lift_success,failure_stage,failure_reason,duration,stage_planning_sec,stage_descend_sec,stage_contact_sec,stage_attach_sec,stage_lift_sec,lift_attempt,lift_fraction,lift_duration,lift_distance,lift_start_tcp_x,lift_start_tcp_y,lift_start_tcp_z,lift_target_tcp_x,lift_target_tcp_y,lift_target_tcp_z,lift_final_tcp_x,lift_final_tcp_y,lift_final_tcp_z,max_start_joint_error,lift_error_code,lift_error_text,lift_primary_success,lift_primary_error_code,lift_primary_error_text,lift_recovery_attempted,lift_recovery_fraction,lift_recovery_success,lift_recovery_error_code,lift_recovery_error_text,lift_state_verified,lift_state_final_target_error,lift_state_z_error,lift_final_success,settle_sec,reset_ok,reset_before_object_x,reset_before_object_y,reset_before_object_z,reset_before_object_yaw,reset_before_object_v,reset_before_object_w,reset_before_tcp_x,reset_before_tcp_y,reset_before_tcp_z,reset_before_arm_max_abs_err,reset_before_gripper_left,reset_before_gripper_right,reset_before_gripper_gap_mm,reset_before_contact_left,reset_before_contact_right,reset_before_force_left,reset_before_force_right,reset_before_attached,reset_before_holding,reset_before_sim_time,reset_after_object_x,reset_after_object_y,reset_after_object_z,reset_after_object_yaw,reset_after_object_v,reset_after_object_w,reset_after_tcp_x,reset_after_tcp_y,reset_after_tcp_z,reset_after_arm_max_abs_err,reset_after_gripper_left,reset_after_gripper_right,reset_after_gripper_gap_mm,reset_after_contact_left,reset_after_contact_right,reset_after_force_left,reset_after_force_right,reset_after_attached,reset_after_holding,reset_after_sim_time,trial_start_object_x,trial_start_object_y,trial_start_object_z,trial_start_object_yaw,trial_start_object_v,trial_start_object_w,trial_start_tcp_x,trial_start_tcp_y,trial_start_tcp_z,trial_start_arm_max_abs_err,trial_start_gripper_left,trial_start_gripper_right,trial_start_gripper_gap_mm,trial_start_contact_left,trial_start_contact_right,trial_start_force_left,trial_start_force_right,trial_start_attached,trial_start_holding,trial_start_sim_time
material_spare_igbt,1,1,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,32.123464,15.802477,6.820356,1.831506,0.701195,3.741207,primary,1.000000,3.686958,0.115024,0.566851,-0.034246,0.609919,0.566698,-0.034320,0.724943,0.566877,-0.034250,0.724918,0.000000,1,,1,1,,0,,,,,0,,,1,0.810945,1,-3.619985,-2.600036,0.751920,0.380059,0.000130,0.037656,0.492664,0.140869,0.751636,0.042068,0.000005,-0.000005,92.000000,0,0,0.000000,0.000000,0,0,1788149762.812932,-3.619980,-2.600039,0.751920,0.380074,0.002986,0.035655,0.492019,0.134244,0.757062,0.005144,-0.000000,0.000039,91.961963,0,0,0.000000,0.000000,0,0,1788149801.869634,-3.619980,-2.600039,0.751920,0.380074,0.002986,0.035655,0.492019,0.134244,0.757062,0.005269,-0.000052,0.000052,92.000022,0,0,0.000000,0.000000,0,0,1788149801.967518
material_spare_igbt,2,2,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,36.002943,18.458787,8.222710,1.722675,0.677949,3.697292,primary,1.000000,3.637921,0.115169,0.567344,-0.034042,0.609767,0.566736,-0.034361,0.724934,0.567285,-0.034062,0.724729,0.000000,1,,1,1,,0,,,,,0,,,1,0.590607,1,-3.619915,-2.600164,0.866804,0.379526,0.264321,0.980879,0.566881,-0.034248,0.724917,2.992703,0.034108,0.034292,23.599996,1,0,20.000000,20.000000,1,1,1788149834.832111,-3.619927,-2.599991,0.751915,0.379802,0.000000,0.000000,0.491873,0.133337,0.757895,0.000094,-0.000000,0.000037,91.963054,0,0,20.000000,20.000000,0,0,1788149881.736332,-3.619927,-2.599991,0.751915,0.379802,0.000000,0.000000,0.491873,0.133337,0.757895,0.000067,-0.000042,0.000042,92.000015,0,0,20.000000,20.000000,0,0,1788149881.805430
material_spare_igbt,3,3,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,47.255623,28.621749,8.780842,1.840231,0.693665,4.091483,primary,1.000000,4.017791,0.115268,0.567818,-0.033850,0.609682,0.566838,-0.034386,0.724945,0.567768,-0.033826,0.724085,0.000000,1,,1,1,,0,,,,,0,,,1,0.560592,1,-3.619751,-2.600344,0.867000,0.378474,0.535054,2.851542,0.567257,-0.034052,0.724802,2.996847,0.034035,0.034165,23.799975,0,0,20.000000,20.000000,1,1,1788149918.558703,-3.619881,-2.599872,0.751921,0.379299,0.001008,0.018523,0.491908,0.133263,0.757884,0.000152,-0.000035,0.000035,92.000010,0,0,20.000000,20.000000,0,0,1788149965.382100,-3.619881,-2.599872,0.751921,0.379299,0.001008,0.018523,0.491908,0.133263,0.757884,0.000088,-0.000000,0.000033,91.966728,0,0,20.000000,20.000000,0,0,1788149965.436181
material_spare_igbt,4,4,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,53.420366,31.036594,7.574416,1.837881,0.658697,9.073801,primary,1.000000,9.012394,0.115376,0.568326,-0.033640,0.609580,0.566979,-0.034406,0.724945,0.568029,-0.033540,0.724649,0.000000,1,,1,1,,0,,,,,0,,,1,0.518101,1,-3.619522,-2.600486,0.867165,0.377161,0.873470,4.935174,0.567702,-0.033805,0.724708,3.000354,0.033925,0.034475,23.599944,1,0,20.000000,20.000000,1,1,1788150012.803774,-3.619813,-2.599693,0.751922,0.378192,0.000859,0.020881,0.491889,0.133369,0.757889,0.000093,-0.000000,0.000026,91.974256,0,0,20.000000,20.000000,0,0,1788150060.442044,-3.619813,-2.599693,0.751922,0.378192,0.000859,0.020881,0.491889,0.133369,0.757889,0.000109,-0.000000,0.000029,91.971285,0,0,20.000000,20.000000,0,0,1788150060.531111
material_spare_igbt,5,5,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,69.762486,16.363862,7.875858,1.841285,0.725845,39.738820,primary,1.000000,39.668814,0.114789,0.568341,-0.033469,0.610158,0.567169,-0.034461,0.724937,0.568434,-0.034117,0.725214,0.000000,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,,,,,1,0.001340,0.000276,1,0.737931,1,-3.619320,-2.600399,0.867316,0.375758,1.040593,6.191908,0.567940,-0.033519,0.724668,3.002835,0.033710,0.034690,23.599973,1,0,20.000000,20.000000,1,1,1788150115.269979,-3.619707,-2.599462,0.751922,0.376997,0.000859,0.020881,0.491859,0.133400,0.757908,0.000180,-0.000049,0.000049,92.000020,0,0,20.000000,20.000000,0,0,1788150161.903405,-3.619707,-2.599462,0.751922,0.376997,0.000859,0.020881,0.491859,0.133400,0.757908,0.000057,0.000000,0.000044,91.955948,0,0,20.000000,20.000000,0,0,1788150161.979688
material_spare_igbt,6,6,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,48.302845,20.650221,7.605908,1.837610,0.713669,14.276891,primary,1.000000,14.211885,0.115404,0.570339,-0.033758,0.609551,0.568662,-0.034116,0.724942,0.569772,-0.033507,0.724670,0.000000,1,,1,1,,0,,,,,0,,,1,0.601496,1,-3.619827,-2.598938,0.867966,0.371314,1.064759,6.181130,0.569692,-0.033829,0.725513,2.242123,0.034529,0.034071,23.400062,1,0,20.000000,20.000000,1,1,1788150232.879237,-3.619913,-2.597861,0.751922,0.373827,0.000706,0.012735,0.491917,0.133219,0.757874,0.000160,0.000029,-0.000029,92.000007,0,0,20.000000,20.000000,0,0,1788150279.984983,-3.619913,-2.597861,0.751922,0.373827,0.000706,0.012735,0.491897,0.133316,0.757901,0.000032,0.000031,-0.000031,92.000009,0,0,20.000000,20.000000,0,0,1788150280.032678
material_spare_igbt,7,7,1,1,,0,1,0,20.000000,0.000000,20.000000,0,0,0,CONTACT_LEFT_ONLY,FAILED_CONTACT material_spare_igbt,41.396144,30.231156,8.904212,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,0.662341,1,-3.619446,-2.598529,0.867213,0.370101,1.041321,5.694491,0.569683,-0.033478,0.724688,3.000600,0.034121,0.034479,23.399914,0,0,20.000000,20.000000,1,1,1788150328.903901,-3.619740,-2.597574,0.751923,0.371658,0.000136,0.004942,0.491899,0.133282,0.757896,0.000064,0.000024,-0.000000,91.976432,0,0,20.000000,20.000000,0,0,1788150375.657013,-3.619740,-2.597574,0.751923,0.371658,0.000136,0.004942,0.491909,0.133335,0.757884,0.000051,0.000025,0.000000,91.975084,0,0,20.000000,20.000000,0,0,1788150375.731116
material_spare_igbt,8,8,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,66.617249,15.660359,7.177492,1.829484,0.723869,38.008965,primary,1.000000,37.938668,0.115470,0.568756,-0.033237,0.609499,0.566695,-0.034327,0.724945,0.567721,-0.033584,0.724745,0.000000,1,,1,1,,0,,,,,0,,,1,0.530600,1,-3.619715,-2.597582,0.751918,0.371600,0.000000,0.000000,0.571499,-0.032551,0.610213,3.141602,0.033607,0.034593,23.800000,1,0,20.000000,0.000000,0,0,1788150418.372241,-3.619974,-2.600042,0.751922,0.380091,0.000707,0.012664,0.491904,0.133285,0.757891,0.000040,-0.000001,0.000001,92.000000,0,0,20.000000,0.000000,0,0,1788150465.311441,-3.619974,-2.600042,0.751922,0.380091,0.000707,0.012664,0.491904,0.133285,0.757891,0.000040,-0.000001,0.000001,92.000000,0,0,20.000000,0.000000,0,0,1788150465.341696
material_spare_igbt,9,9,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,79.838402,28.694674,6.395948,1.827631,0.682185,39.008471,primary,1.000000,38.928267,0.114713,0.567874,-0.033416,0.610241,0.566695,-0.034327,0.724944,0.567736,-0.032808,0.725218,0.000000,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,,,,,1,0.001862,0.000274,1,0.529623,1,-3.619617,-2.600634,0.867556,0.376337,0.880622,6.191083,0.567677,-0.033613,0.724754,3.278961,0.033825,0.034575,23.600032,1,0,20.000000,20.000000,1,1,1788150533.236059,-3.619974,-2.600042,0.751922,0.380091,0.000707,0.012667,0.491904,0.133285,0.757891,0.000043,-0.000001,0.000001,92.000001,0,0,20.000000,20.000000,0,0,1788150580.927737,-3.619974,-2.600042,0.751921,0.380091,0.000981,0.043537,0.491904,0.133285,0.757891,0.000043,-0.000001,0.000001,92.000001,0,0,20.000000,20.000000,0,0,1788150580.986300
material_spare_igbt,10,10,1,1,,0,1,0,20.000000,0.000000,20.000000,0,0,0,CONTACT_LEFT_ONLY,FAILED_CONTACT material_spare_igbt,39.255312,29.222894,7.776907,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,0.628141,1,-3.620705,-2.599998,0.868374,0.377252,1.561143,10.016730,0.568761,-0.031231,0.725510,3.158191,0.033278,0.035322,23.400605,0,0,20.000000,20.000000,1,1,1788150662.384323,-3.621559,-2.598708,0.751920,0.377654,0.000127,0.047681,0.491893,0.133344,0.757890,0.000074,0.000023,-0.000023,92.000006,0,0,20.000000,20.000000,0,0,1788150709.142484,-3.621559,-2.598708,0.751920,0.377654,0.000127,0.047681,0.491906,0.133332,0.757884,0.000058,0.000025,-0.000025,92.000006,0,0,20.000000,20.000000,0,0,1788150709.209257
