target,trial,elapsed_sec,sim_time,control_state,gripper_command_left,gripper_command_right,gripper_position_left,gripper_position_right,force_left_raw,force_right_raw,force_left_filtered,force_right_filtered,force_mean,force_error,force_balance_error,delta_q,force_source,force_valid_left,force_valid_right
material_spare_igbt,1,22.638150,1788233076.861686,POSITION_CLOSE,0.030100,0.030100,0.030105,0.030095,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,22.739740,1788233076.963274,POSITION_CLOSE,0.030300,0.030300,0.030105,0.030095,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,22.842342,1788233077.065880,POSITION_CLOSE,0.030600,0.030600,0.030605,0.030595,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,22.944059,1788233077.167593,POSITION_CLOSE,0.030800,0.030800,0.030605,0.030595,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.047242,1788233077.270776,POSITION_CLOSE,0.031100,0.031100,0.031105,0.031095,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.148661,1788233077.372199,POSITION_CLOSE,0.031300,0.031300,0.031105,0.031095,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.249872,1788233077.473410,POSITION_CLOSE,0.031600,0.031600,0.031305,0.031295,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.352162,1788233077.575698,POSITION_CLOSE,0.031800,0.031800,0.031805,0.031795,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.458231,1788233077.681782,POSITION_CLOSE,0.032100,0.032100,0.031805,0.031795,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.561384,1788233077.784919,POSITION_CLOSE,0.032300,0.032300,0.032105,0.032095,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.663014,1788233077.886551,POSITION_CLOSE,0.032600,0.032600,0.032605,0.032595,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.764819,1788233077.988354,POSITION_CLOSE,0.032800,0.032800,0.032605,0.032595,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.866011,1788233078.089545,POSITION_CLOSE,0.033100,0.033100,0.033105,0.033095,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,23.967112,1788233078.190646,POSITION_CLOSE,0.033300,0.033300,0.033105,0.033095,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,24.072476,1788233078.296012,POSITION_CLOSE,0.033600,0.033600,0.033605,0.033595,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,24.173954,1788233078.397487,POSITION_CLOSE,0.033800,0.033800,0.033605,0.033595,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
material_spare_igbt,1,24.275795,1788233078.499330,CONTACT_TRANSITION,0.034100,0.034100,0.034105,0.034095,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
