target,trial,elapsed_sec,sim_time,control_state,gripper_command_left,gripper_command_right,gripper_position_left,gripper_position_right,force_left_raw,force_right_raw,force_left_filtered,force_right_filtered,force_mean,force_error,force_balance_error,delta_q,force_source,force_valid_left,force_valid_right
high_voltage_probe_kit,1,9.706227,1788190187.447999,POSITION_CLOSE,0.006000,0.006000,0.000016,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.812738,1788190187.554511,POSITION_CLOSE,0.006300,0.006300,0.006017,0.005983,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.914648,1788190187.656424,POSITION_CLOSE,0.006500,0.006500,0.006517,0.006483,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.016689,1788190187.758462,POSITION_CLOSE,0.006800,0.006800,0.006517,0.006483,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.118257,1788190187.860031,POSITION_CLOSE,0.007000,0.007000,0.006817,0.006783,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.220203,1788190187.961974,POSITION_CLOSE,0.007300,0.007300,0.007017,0.006983,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.322262,1788190188.064034,POSITION_CLOSE,0.007500,0.007500,0.007517,0.007483,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.423545,1788190188.165315,POSITION_CLOSE,0.007800,0.007800,0.007517,0.007483,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.525485,1788190188.267256,POSITION_CLOSE,0.008000,0.008000,0.007817,0.007783,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.627705,1788190188.369477,POSITION_CLOSE,0.008300,0.008300,0.008317,0.008283,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.729895,1788190188.471667,POSITION_CLOSE,0.008500,0.008500,0.008317,0.008283,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.832132,1788190188.573904,POSITION_CLOSE,0.008800,0.008800,0.008517,0.008483,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.934278,1788190188.676049,POSITION_CLOSE,0.009000,0.009000,0.009017,0.008983,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.036644,1788190188.778415,POSITION_CLOSE,0.009300,0.009300,0.009017,0.008983,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.138200,1788190188.879977,POSITION_CLOSE,0.009500,0.009500,0.009317,0.009283,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.240675,1788190188.982445,POSITION_CLOSE,0.009800,0.009800,0.009817,0.009783,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.342773,1788190189.084548,POSITION_CLOSE,0.010000,0.010000,0.009817,0.009783,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.444862,1788190189.186632,POSITION_CLOSE,0.010300,0.010300,0.010017,0.009983,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.547538,1788190189.289314,POSITION_CLOSE,0.010500,0.010500,0.010517,0.010483,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.650183,1788190189.391954,POSITION_CLOSE,0.010800,0.010800,0.010517,0.010483,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.752362,1788190189.494133,POSITION_CLOSE,0.011000,0.011000,0.010817,0.010783,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.854180,1788190189.595951,POSITION_CLOSE,0.011300,0.011300,0.011317,0.011283,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.956255,1788190189.698031,POSITION_CLOSE,0.011500,0.011500,0.011317,0.011283,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.058600,1788190189.800371,POSITION_CLOSE,0.011800,0.011800,0.011518,0.011482,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.161725,1788190189.903505,POSITION_CLOSE,0.012000,0.012000,0.011817,0.011783,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.267427,1788190190.009198,POSITION_CLOSE,0.012300,0.012300,0.012018,0.011982,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.369325,1788190190.111104,POSITION_CLOSE,0.012500,0.012500,0.012317,0.012283,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.471588,1788190190.213366,POSITION_CLOSE,0.012800,0.012800,0.012818,0.012782,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.574685,1788190190.316457,POSITION_CLOSE,0.013000,0.013000,0.012817,0.012783,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.676806,1788190190.418579,POSITION_CLOSE,0.013300,0.013300,0.013017,0.012983,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
