target,trial,elapsed_sec,sim_time,left_contact,right_contact,left_force_raw,right_force_raw,force_source,force_valid_left,force_valid_right,gripper_left,gripper_right,gripper_gap_mm
high_voltage_probe_kit,1,0.095729,1788189050.940894,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000002,91.998081
high_voltage_probe_kit,1,0.243623,1788189051.088794,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000002,91.998061
high_voltage_probe_kit,1,0.398396,1788189051.243561,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,-0.000002,0.000002,92.000000
high_voltage_probe_kit,1,0.543235,1788189051.388399,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000002,91.998078
high_voltage_probe_kit,1,0.674337,1788189051.519504,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000002,91.998030
high_voltage_probe_kit,1,0.812555,1788189051.657724,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,-0.000002,0.000002,92.000000
high_voltage_probe_kit,1,0.956835,1788189051.802002,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,-0.000002,0.000002,92.000000
high_voltage_probe_kit,1,1.100748,1788189051.945914,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000002,91.997725
high_voltage_probe_kit,1,1.251542,1788189052.096706,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000002,91.997592
high_voltage_probe_kit,1,1.397690,1788189052.242855,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000003,91.997429
high_voltage_probe_kit,1,1.538223,1788189052.383388,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000003,91.997231
high_voltage_probe_kit,1,1.670632,1788189052.515805,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000003,91.996982
high_voltage_probe_kit,1,1.805250,1788189052.650421,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000000,0.000003,91.996747
high_voltage_probe_kit,1,1.945140,1788189052.790305,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,-0.000004,0.000004,92.000000
high_voltage_probe_kit,1,2.084850,1788189052.930020,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000008,-0.000000,91.992098
high_voltage_probe_kit,1,2.237073,1788189053.082244,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000011,-0.000011,92.000001
high_voltage_probe_kit,1,2.403189,1788189053.248360,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000011,-0.000011,92.000001
high_voltage_probe_kit,1,2.546851,1788189053.392020,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000009,-0.000000,91.990620
high_voltage_probe_kit,1,2.682367,1788189053.527538,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000010,-0.000010,92.000001
high_voltage_probe_kit,1,2.812502,1788189053.657671,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000008,-0.000000,91.991674
high_voltage_probe_kit,1,2.947692,1788189053.792856,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000009,-0.000009,92.000001
high_voltage_probe_kit,1,3.083867,1788189053.929036,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000012,-0.000000,91.987690
high_voltage_probe_kit,1,3.224356,1788189054.069526,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000015,0.000000,91.985137
high_voltage_probe_kit,1,3.384132,1788189054.229302,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000016,-0.000000,91.983836
high_voltage_probe_kit,1,3.529597,1788189054.374766,0,0,0.000000,0.000000,VIRTUAL_ESTIMATE,0,0,0.000016,0.000000,91.983594
