target,trial,elapsed_sec,sim_time,control_state,gripper_command_left,gripper_command_right,gripper_position_left,gripper_position_right,force_left_raw,force_right_raw,force_left_filtered,force_right_filtered,force_mean,force_error,force_balance_error,delta_q,force_source,force_valid_left,force_valid_right
high_voltage_probe_kit,1,7.686106,1788166960.452376,POSITION_CLOSE,0.006000,0.006000,0.000016,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,7.787926,1788166960.554193,POSITION_CLOSE,0.006300,0.006300,0.006017,0.005983,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,7.889497,1788166960.655770,POSITION_CLOSE,0.006500,0.006500,0.006518,0.006482,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,7.991033,1788166960.757305,POSITION_CLOSE,0.006800,0.006800,0.006517,0.006483,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.094527,1788166960.860804,POSITION_CLOSE,0.007000,0.007000,0.006818,0.006782,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.197231,1788166960.963505,POSITION_CLOSE,0.007300,0.007300,0.007317,0.007283,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.299231,1788166961.065500,POSITION_CLOSE,0.007500,0.007500,0.007318,0.007282,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.401305,1788166961.167571,POSITION_CLOSE,0.007800,0.007800,0.007817,0.007783,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.504037,1788166961.270306,POSITION_CLOSE,0.008000,0.008000,0.007818,0.007782,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.605374,1788166961.371647,POSITION_CLOSE,0.008300,0.008300,0.008018,0.007982,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.707025,1788166961.473297,POSITION_CLOSE,0.008500,0.008500,0.008518,0.008482,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.810760,1788166961.577029,POSITION_CLOSE,0.008800,0.008800,0.008518,0.008482,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.911859,1788166961.678127,POSITION_CLOSE,0.009000,0.009000,0.008817,0.008783,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.014054,1788166961.780328,POSITION_CLOSE,0.009300,0.009300,0.009318,0.009282,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
