target,trial,elapsed_sec,sim_time,control_state,gripper_command_left,gripper_command_right,gripper_position_left,gripper_position_right,force_left_raw,force_right_raw,force_left_filtered,force_right_filtered,force_mean,force_error,force_balance_error,delta_q,force_source,force_valid_left,force_valid_right
high_voltage_probe_kit,1,8.611361,1788167261.508864,POSITION_CLOSE,0.006000,0.006000,0.000007,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.713698,1788167261.611199,POSITION_CLOSE,0.006300,0.006300,0.006007,0.005993,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.816187,1788167261.713687,POSITION_CLOSE,0.006500,0.006500,0.006507,0.006493,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,8.918868,1788167261.816366,POSITION_CLOSE,0.006800,0.006800,0.006508,0.006492,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.021120,1788167261.918620,POSITION_CLOSE,0.007000,0.007000,0.006807,0.006793,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.122666,1788167262.020164,POSITION_CLOSE,0.007300,0.007300,0.007307,0.007293,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.223940,1788167262.121441,POSITION_CLOSE,0.007500,0.007500,0.007308,0.007292,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.326276,1788167262.223772,POSITION_CLOSE,0.007800,0.007800,0.007507,0.007493,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.427664,1788167262.325161,POSITION_CLOSE,0.008000,0.008000,0.008007,0.007993,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.530078,1788167262.427575,POSITION_CLOSE,0.008300,0.008300,0.008008,0.007992,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.631509,1788167262.529011,POSITION_CLOSE,0.008500,0.008500,0.008508,0.008492,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.734205,1788167262.631703,POSITION_CLOSE,0.008800,0.008800,0.008507,0.008493,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.835560,1788167262.733062,POSITION_CLOSE,0.009000,0.009000,0.008808,0.008792,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,9.938206,1788167262.835711,POSITION_CLOSE,0.009300,0.009300,0.009308,0.009292,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.040138,1788167262.937647,POSITION_CLOSE,0.009500,0.009500,0.009307,0.009293,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.142206,1788167263.039707,POSITION_CLOSE,0.009800,0.009800,0.009508,0.009492,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.244381,1788167263.141878,POSITION_CLOSE,0.010000,0.010000,0.010008,0.009992,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.347015,1788167263.244516,POSITION_CLOSE,0.010300,0.010300,0.010007,0.009993,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.450305,1788167263.347802,POSITION_CLOSE,0.010500,0.010500,0.010507,0.010493,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.554333,1788167263.451838,POSITION_CLOSE,0.010800,0.010800,0.010508,0.010492,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.656626,1788167263.554123,POSITION_CLOSE,0.011000,0.011000,0.010807,0.010793,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.758768,1788167263.656265,POSITION_CLOSE,0.011300,0.011300,0.011307,0.011293,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.860388,1788167263.757885,POSITION_CLOSE,0.011500,0.011500,0.011308,0.011292,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,10.961680,1788167263.859183,POSITION_CLOSE,0.011800,0.011800,0.011507,0.011493,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.067424,1788167263.964921,POSITION_CLOSE,0.012000,0.012000,0.011807,0.011793,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.168735,1788167264.066237,POSITION_CLOSE,0.012300,0.012300,0.012008,0.011992,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.271799,1788167264.169296,POSITION_CLOSE,0.012500,0.012500,0.012508,0.012492,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.374104,1788167264.271602,POSITION_CLOSE,0.012800,0.012800,0.012507,0.012493,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.475389,1788167264.372894,POSITION_CLOSE,0.013000,0.013000,0.012808,0.012792,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.577512,1788167264.475008,POSITION_CLOSE,0.013300,0.013300,0.013308,0.013292,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.679059,1788167264.576562,POSITION_CLOSE,0.013500,0.013500,0.013307,0.013293,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.783160,1788167264.680660,POSITION_CLOSE,0.013800,0.013800,0.013508,0.013492,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.886802,1788167264.784299,POSITION_CLOSE,0.014000,0.014000,0.013808,0.013792,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,11.988850,1788167264.886346,POSITION_CLOSE,0.014300,0.014300,0.014007,0.013993,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.090878,1788167264.988379,POSITION_CLOSE,0.014500,0.014500,0.014507,0.014493,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.191998,1788167265.089495,POSITION_CLOSE,0.014800,0.014800,0.014508,0.014492,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.294877,1788167265.192404,POSITION_CLOSE,0.015000,0.015000,0.015008,0.014992,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.397958,1788167265.295455,POSITION_CLOSE,0.015300,0.015300,0.015007,0.014993,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.500742,1788167265.398243,POSITION_CLOSE,0.015500,0.015500,0.015308,0.015292,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.602343,1788167265.499839,POSITION_CLOSE,0.015800,0.015800,0.015808,0.015792,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.704730,1788167265.602229,POSITION_CLOSE,0.016000,0.016000,0.015807,0.015793,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.806711,1788167265.704209,POSITION_CLOSE,0.016300,0.016300,0.016008,0.015992,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,12.908774,1788167265.806277,POSITION_CLOSE,0.016500,0.016500,0.016508,0.016492,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,13.013212,1788167265.910709,POSITION_CLOSE,0.016800,0.016800,0.016507,0.016493,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,13.115221,1788167266.012722,POSITION_CLOSE,0.017000,0.017000,0.017007,0.016993,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,13.217860,1788167266.115356,POSITION_CLOSE,0.017300,0.017300,0.017008,0.016992,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,13.319336,1788167266.216840,POSITION_CLOSE,0.017500,0.017500,0.017307,0.017293,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,13.421576,1788167266.319081,POSITION_CLOSE,0.017800,0.017800,0.017807,0.017793,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,13.524383,1788167266.421887,POSITION_CLOSE,0.018000,0.018000,0.017808,0.017792,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,13.626935,1788167266.524432,POSITION_CLOSE,0.018300,0.018300,0.018007,0.017993,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,13.728130,1788167266.625628,POSITION_CLOSE,0.018500,0.018500,0.018507,0.018493,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
high_voltage_probe_kit,1,13.830221,1788167266.727718,POSITION_CLOSE,0.018800,0.018800,0.018508,0.018492,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000250,VIRTUAL_ESTIMATE,1,1
