target,trial,trial_id,reset_before_object_x,reset_before_object_y,reset_before_object_z,reset_before_object_yaw,reset_before_object_v,reset_before_object_w,reset_before_tcp_x,reset_before_tcp_y,reset_before_tcp_z,reset_before_arm_max_abs_err,reset_before_gripper_left,reset_before_gripper_right,reset_before_gripper_gap_mm,reset_before_contact_left,reset_before_contact_right,reset_before_force_left,reset_before_force_right,reset_before_attached,reset_before_holding,reset_before_sim_time,reset_after_object_x,reset_after_object_y,reset_after_object_z,reset_after_object_yaw,reset_after_object_v,reset_after_object_w,reset_after_tcp_x,reset_after_tcp_y,reset_after_tcp_z,reset_after_arm_max_abs_err,reset_after_gripper_left,reset_after_gripper_right,reset_after_gripper_gap_mm,reset_after_contact_left,reset_after_contact_right,reset_after_force_left,reset_after_force_right,reset_after_attached,reset_after_holding,reset_after_sim_time,trial_start_object_x,trial_start_object_y,trial_start_object_z,trial_start_object_yaw,trial_start_object_v,trial_start_object_w,trial_start_tcp_x,trial_start_tcp_y,trial_start_tcp_z,trial_start_arm_max_abs_err,trial_start_gripper_left,trial_start_gripper_right,trial_start_gripper_gap_mm,trial_start_contact_left,trial_start_contact_right,trial_start_force_left,trial_start_force_right,trial_start_attached,trial_start_holding,trial_start_sim_time,settle_sec,reset_ok
tooling_fixture_box,1,1,-3.879688,-2.039809,0.757898,-0.281572,0.002047,0.096350,0.492581,0.139556,0.752379,0.035891,0.000000,0.000009,91.991203,0,0,0.000000,0.000000,0,0,1788146217.355837,-3.880035,-2.040017,0.757718,-0.279898,0.000347,0.043542,0.491975,0.134166,0.757151,0.004712,-0.000000,0.000028,91.971940,0,0,0.000000,0.000000,0,0,1788146272.926525,-3.880035,-2.040017,0.757718,-0.279898,0.000347,0.043542,0.491990,0.134119,0.757165,0.004703,-0.000030,0.000030,92.000007,0,0,0.000000,0.000000,0,0,1788146272.964017,1.685020,1
tooling_fixture_box,2,2,-3.880035,-2.040017,0.757718,-0.279898,0.000347,0.043542,0.491939,0.134081,0.757182,0.004530,-0.000000,0.000027,91.973656,0,0,0.000000,0.000000,0,0,1788146273.069366,-3.880042,-2.040009,0.757765,-0.279902,0.002027,0.023413,0.491985,0.134084,0.757205,0.004516,-0.000031,0.000030,92.000008,0,0,0.000000,0.000000,0,0,1788146274.913876,-3.880042,-2.040009,0.757765,-0.279902,0.002027,0.023413,0.492030,0.134108,0.757173,0.004614,0.000000,0.000029,91.971041,0,0,0.000000,0.000000,0,0,1788146274.939514,1.417855,1
tooling_fixture_box,3,3,-3.880042,-2.040009,0.757765,-0.279902,0.002027,0.023413,0.491984,0.134080,0.757207,0.004496,-0.000038,0.000038,92.000012,0,0,0.000000,0.000000,0,0,1788146275.038481,-3.880023,-2.040040,0.757252,-0.280085,0.000332,0.040931,0.491959,0.133989,0.757281,0.003988,-0.000022,0.000022,92.000004,0,0,0.000000,0.000000,0,0,1788146282.934362,-3.880023,-2.040040,0.757252,-0.280085,0.000332,0.040931,0.491959,0.133989,0.757281,0.003926,-0.000030,0.000030,92.000009,0,0,0.000000,0.000000,0,0,1788146282.951117,7.467465,1
tooling_fixture_box,4,4,-3.880023,-2.040040,0.757252,-0.280085,0.000332,0.040931,0.492007,0.134004,0.757253,0.004029,-0.000031,0.000031,92.000008,0,0,0.000000,0.000000,0,0,1788146283.127594,-3.879993,-2.040024,0.757861,-0.279864,0.000946,0.025799,0.492027,0.133953,0.757235,0.003980,0.000000,0.000027,91.972961,0,0,0.000000,0.000000,0,0,1788146284.597337,-3.879993,-2.040024,0.757861,-0.279864,0.000946,0.025799,0.492027,0.133953,0.757235,0.004069,-0.000030,0.000030,92.000007,0,0,0.000000,0.000000,0,0,1788146284.695243,1.105996,1
tooling_fixture_box,5,5,-3.879993,-2.040024,0.757861,-0.279864,0.000946,0.025799,0.492027,0.133953,0.757235,0.003909,0.000000,0.000031,91.968469,0,0,0.000000,0.000000,0,0,1788146284.793437,-3.880042,-2.040010,0.757756,-0.279902,0.003385,0.043480,0.491978,0.133957,0.757285,0.003851,0.000000,0.000034,91.965560,0,0,0.000000,0.000000,0,0,1788146286.752957,-3.880042,-2.040010,0.757756,-0.279902,0.003385,0.043480,0.491978,0.133957,0.757285,0.003871,-0.000038,0.000038,92.000013,0,0,0.000000,0.000000,0,0,1788146286.795158,1.520502,1
tooling_fixture_box,6,6,-3.880042,-2.040010,0.757756,-0.279902,0.003385,0.043480,0.491978,0.133957,0.757285,0.003787,-0.000030,0.000030,92.000008,0,0,0.000000,0.000000,0,0,1788146286.948247,-3.880043,-2.040009,0.757773,-0.279903,0.002060,0.025225,0.492015,0.133926,0.757278,0.003836,0.000000,0.000035,91.964583,0,0,0.000000,0.000000,0,0,1788146288.816491,-3.880043,-2.040009,0.757773,-0.279903,0.002060,0.025225,0.492015,0.133926,0.757278,0.003836,0.000000,0.000035,91.964583,0,0,0.000000,0.000000,0,0,1788146288.858487,1.433323,1
tooling_fixture_box,7,7,-3.880042,-2.040018,0.757683,-0.279902,0.003614,0.069013,0.492015,0.133926,0.757278,0.003831,0.000000,0.000033,91.967471,0,0,0.000000,0.000000,0,0,1788146289.026653,-3.880043,-2.040008,0.757777,-0.279903,0.002058,0.024980,0.492015,0.133911,0.757301,0.003702,-0.000031,0.000031,92.000009,0,0,0.000000,0.000000,0,0,1788146290.819909,-3.880043,-2.040008,0.757777,-0.279903,0.002058,0.024980,0.492015,0.133911,0.757301,0.003702,-0.000031,0.000031,92.000009,0,0,0.000000,0.000000,0,0,1788146290.899156,1.376369,1
tooling_fixture_box,8,8,-3.880043,-2.040008,0.757777,-0.279903,0.002058,0.024980,0.492011,0.133906,0.757305,0.003733,0.000000,0.000029,91.970849,0,0,0.000000,0.000000,0,0,1788146291.017209,-3.880043,-2.040009,0.757769,-0.279902,0.002060,0.025065,0.492065,0.133865,0.757231,0.003715,-0.000027,0.000027,92.000007,0,0,0.000000,0.000000,0,0,1788146292.908407,-3.880043,-2.040009,0.757769,-0.279902,0.002060,0.025065,0.492065,0.133865,0.757231,0.003732,0.000000,0.000025,91.974977,0,0,0.000000,0.000000,0,0,1788146293.007154,1.529531,1
tooling_fixture_box,9,9,-3.880043,-2.040009,0.757769,-0.279902,0.002060,0.025065,0.492019,0.133845,0.757289,0.003646,-0.000031,0.000031,92.000008,0,0,0.000000,0.000000,0,0,1788146293.109969,-3.879993,-2.040024,0.757859,-0.279864,0.001574,0.027870,0.492049,0.133917,0.757288,0.003721,-0.000028,0.000028,92.000007,0,0,0.000000,0.000000,0,0,1788146294.609073,-3.879993,-2.040024,0.757859,-0.279864,0.001574,0.027870,0.492049,0.133917,0.757288,0.003692,0.000000,0.000021,91.979487,0,0,0.000000,0.000000,0,0,1788146294.703154,1.107393,1
tooling_fixture_box,10,10,-3.879993,-2.040024,0.757859,-0.279864,0.001574,0.027870,0.492049,0.133917,0.757288,0.003709,-0.000000,0.000021,91.978739,0,0,0.000000,0.000000,0,0,1788146295.701757,-3.880043,-2.040009,0.757771,-0.279903,0.002060,0.025168,0.492064,0.133873,0.757276,0.003626,-0.000042,0.000042,92.000016,0,0,0.000000,0.000000,0,0,1788146297.565119,-3.880043,-2.040009,0.757771,-0.279903,0.002060,0.025168,0.492064,0.133873,0.757276,0.003626,-0.000042,0.000042,92.000016,0,0,0.000000,0.000000,0,0,1788146297.578922,1.417363,1
